season,team,opening_day_payroll_usd,source,notes
2009,St. Louis Cardinals,88528411,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Tampa Bay Rays,63313035,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Texas Rangers,68646023,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Toronto Blue Jays,80993657,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Washington Nationals,59328000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Arizona Diamondbacks,60718167,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Atlanta Braves,84423667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Baltimore Orioles,81612500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Boston Red Sox,162747333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Chicago Cubs,146859000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Chicago White Sox,108273197,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Cincinnati Reds,72386544,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Cleveland Guardians,61203967,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Colorado Rockies,84227000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Detroit Tigers,122864929,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Houston Astros,92355500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Kansas City Royals,72267710,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Los Angeles Angels,105013667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Los Angeles Dodgers,94945517,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Miami Marlins,55641500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Milwaukee Brewers,81108279,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Minnesota Twins,97559167,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,New York Mets,132701445,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,New York Yankees,206333389,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Oakland Athletics,51654900,stevetheump.com (compiled from AP / Spotrac / Cot's),
2010,Philadelphia Phillies,141927381,stevetheump.com (compiled from AP / Spotrac / Cot's),
