season,team,opening_day_payroll_usd,wins,prorated_wins,runs_scored,runs_allowed,pyth_wpct,pyth_wins_162,dollars_per_win,predicted_wins,wins_above_expected,season_slope,season_intercept,season_r2,made_playoffs
2007,San Francisco Giants,90219056,71,71.0,683,720,0.4755126420984269,77.03304801994516,1270690.9295774647,83.00946139517528,-5.976413375230123,11.50800724859637,31.19764314584455,0.29027388332478943,False
2007,New York Mets,115231663,88,88.0,804,750,0.5332095829014205,86.37995243003012,1309450.7159090908,85.82551558469747,0.5544368453326456,11.50800724859637,31.19764314584455,0.29027388332478943,False
2007,Los Angeles Dodgers,108454524,82,82.0,735,727,0.5051441155619114,81.83334672102964,1322616.146341463,85.12797370478532,-3.294626983755677,11.50800724859637,31.19764314584455,0.29027388332478943,False
2007,Baltimore Orioles,93554808,69,69.0,756,868,0.4334701691996536,70.22216741034389,1355866.7826086956,83.42728005683085,-13.205112646486967,11.50800724859637,31.19764314584455,0.29027388332478943,False
2007,Boston Red Sox,143026214,96,96.0,867,657,0.628956358613323,101.89093009535831,1489856.3958333333,88.31220451792501,13.578725577433303,11.50800724859637,31.19764314584455,0.29027388332478943,True
2007,Chicago White Sox,108671833,72,72.0,693,839,0.4099143194883494,66.4061197571126,1509331.013888889,85.15100908765397,-18.74488933054137,11.50800724859637,31.19764314584455,0.29027388332478943,False
2007,New York Yankees,189639045,94,94.0,968,777,0.6070160091216961,98.33659347771476,2017436.6489361704,91.55855092052175,6.778042557193004,11.50800724859637,31.19764314584455,0.29027388332478943,True
2008,Miami Marlins,21811500,84,84.0,770,767,0.5018648001821975,81.302097629516,259660.7142857143,70.25174976773894,11.050347861777055,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Tampa Bay Rays,43820597,97,97.0,774,671,0.5665038686808687,91.77362672630072,451758.73195876286,75.95093254476251,15.82269418153821,8.168920142486993,45.07156518163882,0.13383535128936008,True
2008,Oakland Athletics,47967126,75,75.0,646,690,0.4698010516957522,76.10777037471186,639561.68,76.68950048937114,-0.5817301146592797,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Minnesota Twins,56932766,88,88.0,829,745,0.5510252817101103,89.26609563703788,646963.25,78.08928683368714,11.176808803350738,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Pittsburgh Pirates,48689783,67,67.0,735,884,0.411595361391839,66.67844854547792,726713.1791044776,76.8116529021371,-10.133204356659178,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Kansas City Royals,58245500,75,75.0,691,781,0.4425902073023244,71.69961358297655,776606.6666666666,78.27550397272103,-6.5758903897444725,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Arizona Diamondbacks,66202712,82,82.0,720,706,0.5091631613977508,82.48443214643562,807350.1463414634,79.32157171378176,3.162860432653858,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Texas Rangers,67712326,79,79.0,901,967,0.464409251274415,75.23429870645523,857118.0506329114,79.50575474223123,-4.271456035775998,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Milwaukee Brewers,80937499,90,90.0,750,689,0.5396114699385373,87.41705813004303,899305.5444444445,80.96316368329269,6.45389444675034,8.168920142486993,45.07156518163882,0.13383535128936008,True
