season,team,opening_day_payroll_usd,wins,prorated_wins,runs_scored,runs_allowed,pyth_wpct,pyth_wins_162,dollars_per_win
2003,Minnesota Twins,55505000,90,90.0,801,758,0.526394572614819,85.27592076360068,616722.2222222222
2003,Washington Nationals,51948500,83,83.0,711,716,0.49672884978672127,80.47007366544885,625885.5421686746
2003,Cleveland Guardians,48584834,68,68.0,699,778,0.4496915862074527,72.85003696560733,714482.8529411765
2003,Pittsburgh Pirates,54812429,75,75.0,753,801,0.4704737397228638,76.21674583510394,730832.3866666667
2003,San Diego Padres,47928000,64,64.0,678,831,0.4046607211214002,65.55503682166683,748875.0
2003,Houston Astros,71040000,87,87.0,805,677,0.5809981070451149,94.12169334130861,816551.724137931
2003,Philadelphia Phillies,70780000,86,86.0,791,697,0.5594864584957675,90.63680627631433,823023.2558139535
2003,San Francisco Giants,82852167,100,100.0,755,638,0.5775645776690084,93.56546158237936,828521.67
2003,Cincinnati Reds,59355667,69,69.0,694,886,0.3847156957927793,62.323942718430246,860227.0579710145
2003,Chicago Cubs,79868333,88,88.0,724,683,0.52707617244845,85.3863399366489,907594.6931818182
2003,Colorado Rockies,67179667,74,74.0,853,892,0.4779050482666319,77.42061781919436,907833.3378378379
2003,Seattle Mariners,86959167,93,93.0,795,637,0.6020786567679509,97.53674239640804,935044.8064516129
2003,Arizona Diamondbacks,80640333,84,84.0,717,685,0.5211920521210693,84.43311244361323,960003.9642857143
2003,St. Louis Cardinals,83486666,85,85.0,876,796,0.5466475303495756,88.55689991663124,982196.0705882353
2003,Los Angeles Angels,79031667,77,77.0,736,743,0.49553582069790103,80.27680295305997,1026385.2857142857
2003,Baltimore Orioles,73877500,71,71.0,743,820,0.45289154556440525,73.36843038143365,1040528.1690140845
2003,Atlanta Braves,106243667,101,101.0,907,740,0.5977071598262826,96.8285598918578,1051917.495049505
2003,Boston Red Sox,99946500,95,95.0,961,809,0.5846729653118576,94.71702038052094,1052068.4210526317
2003,Detroit Tigers,49168000,43,43.0,591,928,0.2978097474980763,48.24517909468836,1143441.8604651163
2003,Los Angeles Dodgers,105872620,85,85.0,574,556,0.5139056565264063,83.25271635727782,1245560.2352941176
2003,Texas Rangers,103491667,71,71.0,826,969,0.42105938204083126,68.21161989061467,1457629.1126760563
2003,New York Yankees,152749814,101,101.0,877,716,0.5964917207458812,96.63165876083275,1512374.396039604
2003,New York Mets,117176429,66,66.0,642,754,0.4258273861643503,68.98403655862475,1775400.4393939395
2004,Milwaukee Brewers,27518500,67,67.0,634,757,0.41842425811670464,67.78472981490616,410723.8805970149
2004,Tampa Bay Rays,29506667,70,70.0,714,842,0.4216023366159979,68.29957853179165,421523.8142857143
2004,Cleveland Guardians,34569300,80,80.0,858,857,0.5005738636720873,81.09296591487815,432116.25
2004,Pittsburgh Pirates,32227929,72,72.0,680,744,0.45806183446195453,74.20601718283663,447610.125
2004,Miami Marlins,42118042,83,83.0,718,700,0.5118279327359467,82.91612510322337,507446.2891566265
2004,Cincinnati Reds,43067858,76,76.0,750,907,0.4084329088799218,66.16613123854732,566682.3421052631
2004,Minnesota Twins,53585000,92,92.0,780,715,0.5410702793824901,87.6533852599634,582445.6521739131
2004,Texas Rangers,54825973,89,89.0,860,794,0.5388082077441138,87.28692965454643,616022.1685393258
2004,San Diego Padres,54639503,87,87.0,768,705,0.5402324310050496,87.51765382281803,628040.264367816
2004,Detroit Tigers,46353554,72,72.0,827,844,0.4900628075405599,79.39017482157071,643799.3611111111
2004,Washington Nationals,43197500,67,67.0,635,769,0.4119668803287853,66.73863461326322,644738.8059701492
2004,Baltimore Orioles,51212653,78,78.0,842,830,0.5070118394430275,82.13591798977046,656572.4743589744
2004,Oakland Athletics,59825167,91,91.0,793,742,0.5316441275351748,86.12634866069831,657419.4175824176
2004,St. Louis Cardinals,75633517,105,105.0,855,659,0.6211667999265915,100.62902158810783,720319.2095238095
2004,Toronto Blue Jays,50017000,67,67.0,719,823,0.4357618258001481,70.593415779624,746522.3880597015
2004,Chicago White Sox,65212500,83,83.0,865,831,0.5196594660749073,84.18483350413499,785692.7710843374
2004,Houston Astros,74666303,92,92.0,803,698,0.5659839908686625,91.68940652072332,811590.25
2004,Kansas City Royals,47609000,58,58.0,720,905,0.3909739690019579,63.33778297831718,820844.8275862068
2004,San Francisco Giants,82019167,91,91.0,850,770,0.5477062500693554,88.72841251123558,901309.5274725275
2004,Atlanta Braves,88507788,96,96.0,803,668,0.5858161479136541,94.90221596201197,921956.125
2004,Colorado Rockies,64590403,68,68.0,833,923,0.4493448097350688,72.79385917708115,949858.8676470588
2004,Los Angeles Dodgers,89694342,93,93.0,761,684,0.5498095773703855,89.06915153400244,964455.2903225806
